address,county,region,house_area_m2,rooms,maintenance_fee,sold_price,sold_date,price_change_perc,price_per_m2,housing_type,other_usable_area
Vidblicksgatan 3,Göteborgs kommun,Nedre Johanneberg,73.0,3.0,3602.0,5850000.0,5 may 2022,0.0,80137.0,Lägenhet,
Sixten Camps gata 8,Göteborgs kommun,Nya Gårda,86.0,3.0,5004.0,4680000.0,5 may 2022,8.0,54419.0,Lägenhet,
Skillnadsgatan 58B,Göteborgs kommun,Örgryte - Bö,48.0,2.0,3195.0,2860000.0,5 may 2022,17.0,59583.0,Lägenhet,
Fyrmästaregången 16,Göteborgs kommun,Masthugget,31.0,1.0,1970.0,2400000.0,5 may 2022,12.0,77419.0,Lägenhet,
Monsungatan 108,Göteborgs kommun,Eriksberg,54.0,2.0,2547.0,4200000.0,5 may 2022,5.0,77778.0,Lägenhet,
Skogsmilsgatan 17,Göteborgs kommun,Högsbo,39.0,2.0,2719.0,2100000.0,5 may 2022,17.0,53846.0,Lägenhet,
Monsungatan 77,Göteborgs kommun,Eriksberg,62.0,2.0,3482.0,5200000.0,5 may 2022,8.0,83871.0,Lägenhet,
Krokelyckan 36,Göteborgs kommun,Grimmered,128.0,5.0,,7110000.0,5 may 2022,,,Radhus,0
Geijersgatan 16,Göteborgs kommun,Lorensberg,29.0,1.5,1353.0,3275000.0,5 may 2022,17.0,112931.0,Lägenhet,
Basungatan 26,Göteborgs kommun,Västra Frölunda,54.0,2.0,3375.0,2050000.0,5 may 2022,3.0,37963.0,Lägenhet,
Nordhemsgatan 60,Göteborgs kommun,Linné,56.0,2.0,2215.0,4700000.0,5 may 2022,18.0,83929.0,Lägenhet,
Uggledalsvägen 71,Göteborgs kommun,Billdal/Uggledal,82.0,4.0,4857.0,5200000.0,5 may 2022,1.0,63415.0,Lägenhet,
Arvid Lindmansgatan 25F,Göteborgs kommun,Tolered Bjurslätt,54.0,2.0,3322.0,1835000.0,5 may 2022,5.0,33981.0,Lägenhet,
Vaktmästaregången 3,Göteborgs kommun,Masthugget,61.5,2.0,3523.0,3150000.0,5 may 2022,6.0,51220.0,Lägenhet,
Lindholmsallén 59,Göteborgs kommun,Lindholmen,93.0,4.0,5735.0,5600000.0,5 may 2022,,60215.0,Lägenhet,
Iskällareliden 1B,Göteborgs kommun,Örgryte,70.0,3.0,4323.0,5150000.0,5 may 2022,,73571.0,Lägenhet,
Kobbarnas Väg 3,Göteborgs kommun,Olskroken,52.9,2.0,1831.0,3200000.0,5 may 2022,,60491.0,Lägenhet,
Schéelegatan 5B,Göteborgs kommun,Lunden,41.0,2.0,2779.0,2450000.0,5 may 2022,2.0,59756.0,Lägenhet,
Hjäleviken 8B,Göteborgs kommun,Styrsö Tången,57.0,2.0,3162.0,2800000.0,5 may 2022,4.0,49123.0,Lägenhet,
Birkagatan 22C,Göteborgs kommun,Örgryte,9.0,3.0,2848.0,5100000.0,5 may 2022,23.0,82258.0,Lägenhet,
Övre Husargatan 31,Göteborgs kommun,Linné,90.6,4.0,5233.0,6750000.0,5 may 2022,8.0,74503.0,Lägenhet,
Gaterseredsvägen 50,Göteborgs kommun,Billdal,147.0,6.0,,7100000.0,5 may 2022,-3.0,,Villa,0
